PlayDate,No1,No2,No4,No3,No5,No6,No7,Bonus,Jackpot
2015-06-19,7,14,16,15,21,30,41,17,0.0
2015-06-26,2,4,23,16,30,32,46,38,0.0
2015-07-03,1,6,40,30,46,47,49,37,0.0
2015-07-10,12,14,25,23,31,38,40,36,0.0
2015-07-17,23,24,36,29,42,43,49,38,0.0
2015-07-24,2,4,19,11,28,29,38,42,0.0
2015-07-31,2,5,32,27,35,42,46,48,0.0
2015-08-07,5,13,37,20,39,40,41,28,0.0
2015-08-14,1,15,25,17,34,40,41,38,0.0
2015-08-21,3,13,22,15,33,41,49,11,0.0
2015-08-28,2,4,17,5,29,39,41,48,0.0
2015-09-04,7,8,19,15,36,37,41,43,0.0
2015-09-11,21,22,30,27,39,42,44,8,0.0
2015-09-18,13,16,21,17,35,40,46,18,0.0
2015-09-25,1,7,18,15,21,30,45,22,0.0
2015-10-02,10,12,26,24,34,43,47,38,0.0
2015-10-09,8,11,23,14,26,42,47,1,0.0
2015-10-16,9,14,21,19,31,32,40,16,0.0
2015-10-23,2,7,28,12,29,38,48,27,0.0
2015-10-30,2,11,38,19,43,45,49,9,0.0
2015-11-06,1,10,20,12,29,35,47,4,0.0
2015-11-13,7,11,38,19,40,41,42,49,0.0
2015-11-20,12,21,34,28,36,45,48,26,0.0
2015-11-27,4,8,20,9,23,45,46,31,0.0
2015-12-04,8,15,25,24,27,36,43,32,0.0
2015-12-11,7,12,34,28,45,46,48,49,0.0
2015-12-18,6,20,29,28,30,31,46,45,0.0
2015-12-25,5,8,12,9,22,39,45,38,0.0
2016-01-01,6,10,14,13,25,41,46,8,0.0
2016-01-08,13,15,24,21,25,36,48,10,0.0
2016-01-15,7,26,31,27,32,33,42,45,0.0
2016-01-22,20,21,34,22,42,43,45,1,0.0
2016-01-29,5,11,17,14,28,41,47,46,0.0
2016-02-05,6,7,9,8,17,23,30,18,0.0
2016-02-12,19,20,31,26,34,39,48,18,0.0
2016-02-19,2,11,22,20,33,40,43,4,0.0
2016-02-26,6,9,23,22,36,38,47,12,0.0
2016-03-04,4,14,41,24,42,44,48,26,0.0
2016-03-11,9,17,30,27,31,34,42,21,0.0
2016-03-18,6,8,24,15,26,39,44,40,0.0
2016-03-25,1,6,32,15,42,45,46,44,0.0
2016-04-01,5,6,28,27,31,41,45,12,0.0
2016-04-08,9,12,14,13,28,39,41,38,0.0
2016-04-15,1,9,19,17,25,27,38,44,0.0
2016-04-22,13,16,35,20,37,43,49,6,0.0
2016-04-29,11,21,24,22,26,36,43,10,0.0
2016-05-06,1,8,24,10,26,37,45,47,0.0
2016-05-13,3,6,17,8,21,28,34,2,0.0
2016-05-20,16,17,22,19,31,47,49,1,0.0
2016-05-27,1,14,20,16,26,32,34,18,0.0
2016-06-03,12,21,37,28,40,43,47,11,0.0
2016-06-10,5,11,26,15,27,33,39,46,0.0
2016-06-17,1,16,29,20,33,44,46,15,0.0
2016-06-24,2,17,24,22,26,42,48,6,0.0
2016-07-01,10,12,28,14,36,39,45,26,0.0
2016-07-08,1,8,25,16,30,42,48,28,0.0
2016-07-15,19,30,36,31,40,44,49,6,0.0
2016-07-22,9,26,32,28,37,40,45,46,0.0
2016-07-29,11,15,26,25,39,47,49,30,0.0
2016-08-05,4,6,20,10,40,46,47,39,0.0
2016-08-12,5,7,18,15,19,27,28,25,0.0
2016-08-19,19,22,32,25,37,45,47,40,0.0
2016-08-26,3,10,19,17,26,27,42,46,0.0
2016-09-02,1,12,22,15,25,45,48,16,0.0
2016-09-09,4,10,27,11,29,32,41,42,0.0
2016-09-16,7,12,15,14,27,34,44,6,0.0
2016-09-23,3,13,36,24,39,44,45,19,0.0
2016-09-30,4,12,21,17,32,38,42,46,0.0
2016-10-07,8,9,24,12,29,36,37,17,0.0
2016-10-14,14,18,25,22,36,39,44,34,0.0
2016-10-28,3,5,29,19,33,34,44,41,0.0
2016-11-04,4,23,36,29,39,44,46,24,0.0
2016-11-11,8,14,20,18,24,39,46,23,0.0
2016-11-18,7,10,24,21,38,40,49,3,0.0
2016-11-25,2,11,22,20,31,35,47,39,0.0
2016-12-02,5,8,21,20,29,40,47,7,0.0
2016-12-09,11,17,26,24,34,35,39,16,0.0
2016-12-16,2,9,32,27,38,39,43,45,0.0
2016-12-23,1,5,26,11,28,30,41,49,0.0
2016-12-30,5,10,19,14,31,33,47,27,0.0
2017-01-06,10,13,19,18,38,47,48,42,0.0
2017-01-13,2,8,30,24,31,38,40,42,0.0
2017-01-20,4,10,28,21,29,37,45,20,0.0
2017-01-27,1,3,22,8,29,38,47,11,0.0
2017-02-03,8,19,28,24,34,42,48,17,0.0
2017-02-10,11,16,22,19,24,38,41,48,0.0
2017-02-17,5,9,24,14,33,37,46,38,0.0
2017-02-24,1,17,23,19,28,29,47,10,0.0
2017-03-03,3,7,25,20,29,31,44,27,0.0
2017-03-10,1,11,20,15,36,41,47,33,0.0
2017-03-17,2,5,7,6,8,33,45,15,0.0
2017-03-24,16,19,32,21,37,39,45,26,0.0
2017-03-31,1,2,15,12,22,25,41,34,0.0
2017-04-07,8,12,34,14,37,44,48,45,0.0
2017-04-14,23,25,30,29,42,44,45,20,0.0
2017-04-21,3,4,16,13,35,47,49,37,0.0
2017-04-28,10,14,36,22,38,44,45,11,0.0
2017-05-05,11,14,22,20,26,35,43,33,0.0
2017-05-12,11,25,28,26,38,44,45,20,0.0
2017-05-19,8,11,25,18,34,35,38,44,0.0
2017-05-26,14,16,21,18,38,44,49,15,0.0
2017-06-02,11,12,28,25,33,41,43,36,0.0
2017-06-09,7,11,21,20,22,37,47,38,0.0
2017-06-16,1,5,33,20,34,41,42,15,0.0
2017-06-23,2,3,22,6,24,42,46,27,0.0
2017-06-30,7,24,36,26,37,43,44,3,0.0
2017-07-07,4,8,16,13,26,33,38,10,0.0
2017-07-14,2,4,17,11,26,41,42,44,0.0
2017-07-21,2,11,25,12,33,39,44,8,0.0
2017-07-28,9,12,24,16,33,45,47,14,0.0
2017-08-04,1,4,17,11,27,36,37,47,0.0
2017-08-11,13,14,26,19,27,36,37,18,0.0
2017-08-18,2,9,16,13,25,26,45,19,0.0
2017-08-25,18,19,34,23,39,43,46,1,0.0
2017-09-01,1,7,28,18,31,39,48,35,0.0
2017-09-08,1,2,16,15,22,29,41,27,0.0
2017-09-15,15,20,30,24,39,44,46,22,0.0
2017-09-22,2,10,38,37,39,43,47,28,0.0
2017-09-29,1,6,23,14,38,40,47,25,0.0
2017-10-06,10,17,27,25,29,34,38,48,0.0
2017-10-13,8,14,17,16,18,34,41,43,0.0
2017-10-20,1,4,27,12,35,38,46,8,0.0
2017-10-27,1,14,16,15,24,39,49,5,0.0
2017-11-03,16,17,20,18,40,42,43,15,0.0
2017-11-10,5,12,26,18,29,31,37,40,0.0
2017-11-17,3,15,23,22,33,47,49,6,0.0
2017-11-23,5,11,22,20,35,38,46,45,0.0
2017-12-08,1,17,33,31,39,46,49,42,0.0
2017-12-15,8,14,27,17,28,30,48,37,0.0
2017-12-22,13,16,21,19,24,26,30,36,0.0
2017-12-29,22,23,35,26,37,39,47,14,0.0
2018-01-05,1,3,15,13,28,36,49,14,0.0
2018-01-12,1,8,19,16,26,34,41,10,0.0
2018-01-19,9,18,30,25,39,40,43,5,0.0
2018-01-26,7,8,19,13,23,32,40,9,0.0
2018-02-02,3,8,24,9,28,31,44,32,0.0
2018-02-09,6,19,25,24,36,37,39,17,0.0
2018-02-16,5,14,23,22,35,40,49,43,0.0
2018-02-23,13,17,32,24,33,44,45,48,0.0
2018-03-02,7,25,28,26,32,36,37,2,0.0
2018-03-09,13,18,26,20,32,35,47,12,0.0
2018-03-16,13,24,31,29,35,36,42,37,0.0
2018-03-23,7,12,23,15,35,43,49,19,0.0
2018-03-30,1,12,19,18,21,24,41,15,0.0
2018-04-06,7,18,30,29,41,45,46,40,0.0
2018-04-13,1,8,22,9,29,30,32,17,0.0
2018-04-20,6,14,22,16,30,42,45,35,0.0
2018-04-27,8,9,17,11,37,39,41,19,0.0
2018-05-04,1,11,16,15,20,29,39,32,0.0
2018-05-11,11,22,33,28,39,43,47,23,0.0
2018-05-18,4,13,30,23,31,37,43,32,0.0
2018-05-25,7,10,19,13,24,31,41,1,0.0
2018-06-01,2,11,18,17,22,25,39,3,0.0
2018-06-08,12,25,29,27,34,44,45,7,0.0
2018-06-15,18,23,37,28,44,45,47,9,0.0
2018-06-22,3,10,28,16,31,38,47,20,0.0
2018-06-29,3,5,23,17,28,43,46,29,0.0
2018-07-06,1,11,32,20,41,42,44,47,0.0
2018-07-13,1,4,22,5,25,32,34,27,0.0
2018-07-20,6,8,19,12,20,25,49,18,0.0
2018-07-27,8,11,17,14,26,30,36,48,0.0
2018-08-03,9,11,33,23,35,36,42,6,0.0
2018-08-10,2,9,33,18,36,40,49,38,0.0
2018-08-17,12,17,27,22,28,29,35,43,0.0
2018-08-24,3,5,11,7,13,20,29,30,0.0
2018-08-31,2,4,19,18,20,39,44,11,0.0
2018-09-07,3,12,34,21,37,38,41,22,0.0
2018-09-14,1,3,10,5,16,27,43,14,0.0
2018-09-21,3,9,16,15,19,45,48,42,0.0
2018-09-28,25,28,36,31,42,44,49,37,0.0
2018-10-05,8,9,20,12,22,27,30,28,0.0
2018-10-19,10,15,17,16,19,27,38,9,0.0
2018-10-26,2,3,8,4,9,20,30,45,0.0
2018-11-02,9,10,23,16,24,39,49,7,0.0
2018-11-09,2,12,34,31,39,48,49,1,0.0
2018-11-16,11,17,34,24,41,42,48,21,0.0
2018-11-23,1,7,14,13,22,42,48,47,0.0
2018-11-30,5,8,20,15,25,26,47,22,0.0
2018-12-07,2,9,23,15,26,30,41,13,0.0
2018-12-14,6,7,21,11,23,27,41,49,0.0
2018-12-21,7,21,25,23,31,34,45,37,0.0
2018-12-28,5,13,16,14,17,29,49,18,0.0
2019-01-04,7,22,26,25,35,41,45,3,0.0
2019-01-11,8,15,28,21,29,30,39,23,0.0
2019-01-18,3,19,30,22,32,37,40,20,0.0
2019-01-25,6,12,24,20,40,42,47,44,0.0
2019-02-01,2,6,19,13,21,32,40,12,0.0
2019-02-08,18,23,32,31,36,38,43,27,0.0
2019-02-15,1,2,37,32,38,39,45,16,0.0
2019-02-22,6,31,34,33,43,44,46,22,0.0
2019-03-01,2,23,29,24,40,48,49,18,0.0
2019-03-08,2,9,17,16,21,22,32,38,0.0
2019-03-15,6,11,31,25,36,41,49,47,0.0
2019-03-22,1,3,21,20,27,28,44,43,0.0
2019-03-29,10,12,22,19,25,32,42,39,0.0
2019-04-05,1,2,21,16,23,25,28,48,0.0
2019-04-12,2,20,30,21,31,39,45,18,0.0
2019-04-19,2,16,33,21,39,42,47,1,0.0
2019-04-26,9,17,23,21,36,41,48,12,0.0
2019-05-03,2,3,12,5,21,22,37,19,0.0
2019-05-10,16,17,34,31,36,39,41,10,0.0
2019-05-14,9,24,33,27,40,44,48,41,0.0
2019-05-17,4,21,39,23,40,42,50,17,0.0
2019-05-21,2,3,18,8,31,39,50,33,0.0
2019-05-24,9,11,19,15,20,35,41,28,0.0
2019-05-28,4,9,26,10,27,29,37,14,0.0
2019-05-31,6,29,39,34,42,47,50,22,0.0
2019-06-04,7,19,28,22,34,41,42,12,0.0
2019-06-07,4,8,23,13,25,33,39,17,0.0
2019-06-11,18,23,32,28,34,44,50,29,0.0
2019-06-14,4,11,22,20,37,44,49,13,0.0
2019-06-18,1,6,15,13,38,42,49,48,0.0
2019-06-21,11,16,20,17,42,44,50,31,0.0
2019-06-25,2,14,23,15,27,44,45,8,0.0
2019-06-28,7,11,37,36,38,43,46,26,0.0
2019-07-02,6,14,31,26,34,36,45,25,0.0
2019-07-05,1,4,28,8,32,36,43,40,0.0
